            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451926.500000000, A.D. 2001-Jan-17 00:00:00.0000,  1.681775068430893E+00,  4.762284667677902E+00, -5.742249078333703E-02, -7.218528141086296E-03,  2.871596707818056E-03,  1.496249239314832E-04,
2451927.500000000, A.D. 2001-Jan-18 00:00:00.0000,  1.674555382641423E+00,  4.765150480010150E+00, -5.727280142160796E-02, -7.220815096840639E-03,  2.860841776301320E-03,  1.497826515482650E-04,
2451928.500000000, A.D. 2001-Jan-19 00:00:00.0000,  1.667332164728093E+00,  4.768006362157492E+00, -5.712294296898569E-02, -7.225526516245853E-03,  2.850186515248784E-03,  1.499106939021047E-04,
2451929.500000000, A.D. 2001-Jan-20 00:00:00.0000,  1.660105227906751E+00,  4.770851186370697E+00, -5.697295376061565E-02, -7.228748533133086E-03,  2.839993852885343E-03,  1.500804742415222E-04,
2451930.500000000, A.D. 2001-Jan-21 00:00:00.0000,  1.652874022221743E+00,  4.773685594572146E+00, -5.682281920677620E-02, -7.233076243368953E-03,  2.828526357694480E-03,  1.501861651052752E-04,
2451931.500000000, A.D. 2001-Jan-22 00:00:00.0000,  1.645639225515372E+00,  4.776509214579853E+00, -5.667254576742265E-02, -7.237297463342803E-03,  2.818694789537967E-03,  1.503485883429076E-04,
2451932.500000000, A.D. 2001-Jan-23 00:00:00.0000,  1.638399560636863E+00,  4.779321693867390E+00, -5.652216463266346E-02, -7.241263998843530E-03,  2.806374503572520E-03,  1.504292057246428E-04,
2451933.500000000, A.D. 2001-Jan-24 00:00:00.0000,  1.631156471379866E+00,  4.782122826604366E+00, -5.637166095058872E-02, -7.245311939666215E-03,  2.795500322454473E-03,  1.505577937615282E-04,
2451934.500000000, A.D. 2001-Jan-25 00:00:00.0000,  1.623909856809783E+00,  4.784912347494948E+00, -5.622104904294157E-02, -7.247682142707618E-03,  2.784301778311374E-03,  1.506959242575346E-04,
2451935.500000000, A.D. 2001-Jan-26 00:00:00.0000,  1.616659881572859E+00,  4.787691742320157E+00, -5.607027551065103E-02, -7.252366560386866E-03,  2.773734053622134E-03,  1.508240817360311E-04,
2451936.500000000, A.D. 2001-Jan-27 00:00:00.0000,  1.609406106750191E+00,  4.790459871375049E+00, -5.591938293621730E-02, -7.255412155015699E-03,  2.763137892343058E-03,  1.509793921981199E-04,
2451937.500000000, A.D. 2001-Jan-28 00:00:00.0000,  1.602148255541145E+00,  4.793217457228008E+00, -5.576834921929412E-02, -7.259793665151811E-03,  2.751586220033032E-03,  1.510789002285951E-04,
2451938.500000000, A.D. 2001-Jan-29 00:00:00.0000,  1.594886954375387E+00,  4.795963931232010E+00, -5.561718855599967E-02, -7.263544218580430E-03,  2.741549731646245E-03,  1.512381085979816E-04,
2451939.500000000, A.D. 2001-Jan-30 00:00:00.0000,  1.587620997771226E+00,  4.798699288757103E+00, -5.546591940960362E-02, -7.267575671059177E-03,  2.729083256204479E-03,  1.513093375602738E-04,
2451940.500000000, A.D. 2001-Jan-31 00:00:00.0000,  1.580351843836853E+00,  4.801423039014323E+00, -5.531453664527461E-02, -7.271219507471006E-03,  2.718175157632582E-03,  1.514397367017453E-04,
2451941.500000000, A.D. 2001-Feb-01 00:00:00.0000,  1.573079335346416E+00,  4.804135097981289E+00, -5.516304905541018E-02, -7.273379465243317E-03,  2.706622775925329E-03,  1.515650539383360E-04,
2451942.500000000, A.D. 2001-Feb-02 00:00:00.0000,  1.565803972298981E+00,  4.806836922733472E+00, -5.501140014909543E-02, -7.277646719064362E-03,  2.696329371193235E-03,  1.517046143472117E-04,
2451943.500000000, A.D. 2001-Feb-03 00:00:00.0000,  1.558525003588165E+00,  4.809527560246565E+00, -5.485963098169797E-02, -7.280348958631874E-03,  2.685608481028749E-03,  1.518564247231026E-04,
2451944.500000000, A.D. 2001-Feb-04 00:00:00.0000,  1.551242334956807E+00,  4.812207835471859E+00, -5.470771259987502E-02, -7.284641937907380E-03,  2.674382763622150E-03,  1.519650730892211E-04,
2451945.500000000, A.D. 2001-Feb-05 00:00:00.0000,  1.543956355683158E+00,  4.814877062786860E+00, -5.455566668764796E-02, -7.287979237861114E-03,  2.664446350858149E-03,  1.521299820444466E-04,
2451946.500000000, A.D. 2001-Feb-06 00:00:00.0000,  1.536665872630803E+00,  4.817535551354823E+00, -5.440350082708775E-02, -7.292242749764498E-03,  2.652245616612374E-03,  1.522031059713245E-04,
2451947.500000000, A.D. 2001-Feb-07 00:00:00.0000,  1.529372151930044E+00,  4.820182472220872E+00, -5.425122422285911E-02, -7.295748020972299E-03,  2.641505924608648E-03,  1.523381782537127E-04,
2451948.500000000, A.D. 2001-Feb-08 00:00:00.0000,  1.522074935717089E+00,  4.822817839089835E+00, -5.409884322726350E-02, -7.298122910512237E-03,  2.629762202469110E-03,  1.524503360783365E-04,
2451949.500000000, A.D. 2001-Feb-09 00:00:00.0000,  1.514774973706925E+00,  4.825442874103572E+00, -5.394630630007165E-02, -7.302284406401773E-03,  2.619694906406167E-03,  1.525955859186553E-04,
2451950.500000000, A.D. 2001-Feb-10 00:00:00.0000,  1.507471243655146E+00,  4.828056745129731E+00, -5.379365441938119E-02, -7.305049317963448E-03,  2.608687260919955E-03,  1.527329759566097E-04,
2451951.500000000, A.D. 2001-Feb-11 00:00:00.0000,  1.500163895453568E+00,  4.830660185545055E+00, -5.364085747441043E-02, -7.309460678299379E-03,  2.597548675847201E-03,  1.528403331872810E-04,
2451952.500000000, A.D. 2001-Feb-12 00:00:00.0000,  1.492853146368888E+00,  4.833252349866549E+00, -5.348794497432541E-02, -7.312560228026738E-03,  2.587301495318300E-03,  1.529950381047511E-04,
2451953.500000000, A.D. 2001-Feb-13 00:00:00.0000,  1.485538017625214E+00,  4.835833769962900E+00, -5.333491388504037E-02, -7.317030181969506E-03,  2.575065156343076E-03,  1.530607778104056E-04,
2451954.500000000, A.D. 2001-Feb-14 00:00:00.0000,  1.478219645910624E+00,  4.838403311142009E+00, -5.318178594979353E-02, -7.320255132035447E-03,  2.564095861710475E-03,  1.531892840645078E-04,
2451955.500000000, A.D. 2001-Feb-15 00:00:00.0000,  1.470897854982105E+00,  4.840961142880630E+00, -5.302856059333712E-02, -7.322645991442759E-03,  2.551939619270665E-03,  1.532838641140437E-04,
2451956.500000000, A.D. 2001-Feb-16 00:00:00.0000,  1.463573690551580E+00,  4.843508287272736E+00, -5.287518964450890E-02, -7.326308276662845E-03,  2.541887350463260E-03,  1.534331721742212E-04,
2451957.500000000, A.D. 2001-Feb-17 00:00:00.0000,  1.456245973181573E+00,  4.846044222621901E+00, -5.272170617514502E-02, -7.328823373677825E-03,  2.530575060726913E-03,  1.535595642450602E-04,
2451958.500000000, A.D. 2001-Feb-18 00:00:00.0000,  1.448915092456698E+00,  4.848569665385121E+00, -5.256807680380879E-02, -7.332932953929001E-03,  2.519650467390947E-03,  1.536754212590921E-04,
2451959.500000000, A.D. 2001-Feb-19 00:00:00.0000,  1.441581032677577E+00,  4.851083805684652E+00, -5.241433309730543E-02, -7.335549122131884E-03,  2.509275876921580E-03,  1.538289745164256E-04,
2451960.500000000, A.D. 2001-Feb-20 00:00:00.0000,  1.434243001255222E+00,  4.853587452147388E+00, -5.226046007619321E-02, -7.339990235352503E-03,  2.497395009075253E-03,  1.539033742006525E-04,
2451961.500000000, A.D. 2001-Feb-21 00:00:00.0000,  1.426901817276110E+00,  4.856079286993537E+00, -5.210649057668706E-02, -7.342887422037389E-03,  2.486520628463309E-03,  1.540362774637569E-04,
2451962.500000000, A.D. 2001-Feb-22 00:00:00.0000,  1.419557300276181E+00,  4.858559648077514E+00, -5.195241772430220E-02, -7.345418126368166E-03,  2.474385512489063E-03,  1.541258820748637E-04,
